Target,Subject,Data Modality,Classifier,Accuracy,F1-score
Arousal,3,EMG A,GaussianSVM,0.795735677,0.753466762
Arousal,3,EMG A,KNN,0.765249572,0.725164844
Arousal,3,EMG A,LinearRidge,0.785042322,0.743086246
Arousal,3,EMG A,RF,0.797642447,0.770113165
Arousal,3,EMG C,DL,0.639658727,0.570361642
Arousal,3,EMG C,GaussianSVM,0.675551854,0.581815104
Arousal,3,EMG C,KNN,0.61752206,0.571288735
Arousal,3,EMG C,LinearRidge,0.619950958,0.527323607
Arousal,3,EMG C,RF,0.642190912,0.539972366
Arousal,3,HRV,DL,0.606158235,0.529621293
Arousal,3,HRV,GaussianSVM,0.548864403,0.484780933
Arousal,3,HRV,KNN,0.577564977,0.537832802
Arousal,3,HRV,LinearRidge,0.651278261,0.544116083
Arousal,3,HRV,RF,0.640951869,0.571214646
Arousal,3,IMU,DL,0.668644432,0.595438192
Arousal,3,IMU,GaussianSVM,0.699384346,0.642583392
Arousal,3,IMU,KNN,0.597949326,0.546748003
Arousal,3,IMU,LinearRidge,0.703914722,0.643434673
Arousal,3,IMU,RF,0.679626112,0.620032717
Arousal,3,Mask-All,DL,0.763405186,0.722799547
Arousal,3,Mask-All,GaussianSVM,0.764146145,0.716121503
Arousal,3,Mask-All,KNN,0.678057164,0.655750509
Arousal,3,Mask-All,LinearRidge,0.76532107,0.723731604
Arousal,3,Mask-All,RF,0.801794988,0.769614395
Arousal,4,Annotations,DL,0.796326327,0.769680462
Arousal,4,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,4,Annotations,KNN,0.857142857,0.82038489
Arousal,4,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,4,Annotations,RF,0.845238095,0.807983119
Arousal,4,EMG A,DL,0.802162463,0.773924989
Arousal,4,EMG A,GaussianSVM,0.796251138,0.758233499
Arousal,4,EMG A,KNN,0.774619412,0.733373732
Arousal,4,EMG A,LinearRidge,0.784526961,0.745726492
Arousal,4,EMG A,RF,0.801460567,0.775538677
Arousal,4,EMG C,DL,0.62495931,0.550933157
Arousal,4,EMG C,GaussianSVM,0.660639838,0.564346633
Arousal,4,EMG C,KNN,0.597910263,0.551233849
Arousal,4,EMG C,LinearRidge,0.629810449,0.529997166
Arousal,4,EMG C,RF,0.657649536,0.560724965
Arousal,4,HRV,DL,0.608210091,0.526516729
Arousal,4,HRV,GaussianSVM,0.546965584,0.477124143
Arousal,4,HRV,KNN,0.581087883,0.541748168
Arousal,4,HRV,LinearRidge,0.636689245,0.537476127
Arousal,4,HRV,RF,0.604717062,0.541581951
Arousal,4,IMU,DL,0.690213801,0.599162809
Arousal,4,IMU,GaussianSVM,0.694448028,0.640411803
Arousal,4,IMU,KNN,0.620461863,0.558579439
Arousal,4,IMU,LinearRidge,0.705547406,0.642343808
Arousal,4,IMU,RF,0.707011531,0.620110413
Arousal,4,Mask-All,DL,0.771536058,0.73891974
Arousal,4,Mask-All,GaussianSVM,0.764018253,0.716940618
Arousal,4,Mask-All,KNN,0.693419425,0.671371651
Arousal,4,Mask-All,LinearRidge,0.770397668,0.728505961
Arousal,4,Mask-All,RF,0.802231025,0.775705544
Arousal,5,Annotations,DL,0.791501932,0.760599218
Arousal,5,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,5,Annotations,KNN,0.845238095,0.807983119
Arousal,5,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,5,Annotations,RF,0.845238095,0.81272509
Arousal,5,EMG A,DL,0.793342508,0.763749995
Arousal,5,EMG A,GaussianSVM,0.79293678,0.749960972
Arousal,5,EMG A,KNN,0.763862512,0.721700612
Arousal,5,EMG A,LinearRidge,0.785026004,0.742677161
Arousal,5,EMG A,RF,0.795167981,0.770547681
Arousal,5,EMG C,DL,0.58861338,0.519847528
Arousal,5,EMG C,GaussianSVM,0.599008343,0.525800251
Arousal,5,EMG C,KNN,0.590462351,0.542461976
Arousal,5,EMG C,LinearRidge,0.58169645,0.48743319
Arousal,5,EMG C,RF,0.630825904,0.537584908
Arousal,5,HRV,DL,0.598867862,0.513646437
Arousal,5,HRV,GaussianSVM,0.53907373,0.464705587
Arousal,5,HRV,KNN,0.578400239,0.531311475
Arousal,5,HRV,LinearRidge,0.632858189,0.524059437
Arousal,5,HRV,RF,0.580064014,0.526409796
Arousal,5,IMU,DL,0.694587173,0.642996366
Arousal,5,IMU,GaussianSVM,0.723673951,0.672309465
Arousal,5,IMU,KNN,0.617322041,0.570932005
Arousal,5,IMU,LinearRidge,0.723284738,0.666995431
Arousal,5,IMU,RF,0.682128557,0.629613164
Arousal,5,Mask-All,DL,0.77157015,0.738358113
Arousal,5,Mask-All,GaussianSVM,0.771313118,0.721260813
Arousal,5,Mask-All,KNN,0.685410324,0.656885075
Arousal,5,Mask-All,LinearRidge,0.771539686,0.725819091
Arousal,5,Mask-All,RF,0.81084511,0.779022995
Arousal,6,Annotations,DL,0.80374591,0.775538902
Arousal,6,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,6,Annotations,KNN,0.857142857,0.82038489
Arousal,6,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,6,Annotations,RF,0.833333333,0.790449038
Arousal,6,EMG A,DL,0.804569402,0.777723792
Arousal,6,EMG A,GaussianSVM,0.796327123,0.754247066
Arousal,6,EMG A,KNN,0.768166222,0.727928869
Arousal,6,EMG A,LinearRidge,0.786014395,0.743536286
Arousal,6,EMG A,RF,0.807284712,0.784564503
Arousal,6,EMG C,DL,0.63250906,0.557126786
Arousal,6,EMG C,GaussianSVM,0.658968769,0.553247138
Arousal,6,EMG C,KNN,0.602396613,0.546056769
Arousal,6,EMG C,LinearRidge,0.638112896,0.554214901
Arousal,6,EMG C,RF,0.636505906,0.566334295
Arousal,6,HRV,DL,0.600638628,0.513959944
Arousal,6,HRV,GaussianSVM,0.566169346,0.494702294
Arousal,6,HRV,KNN,0.587052538,0.542429558
Arousal,6,HRV,LinearRidge,0.653813813,0.549173975
Arousal,6,HRV,RF,0.609141712,0.545377185
Arousal,6,IMU,DL,0.682739201,0.599176199
Arousal,6,IMU,GaussianSVM,0.694257422,0.635109982
Arousal,6,IMU,KNN,0.625302665,0.563604088
Arousal,6,IMU,LinearRidge,0.713401466,0.648599052
Arousal,6,IMU,RF,0.683443869,0.612579949
Arousal,6,Mask-All,DL,0.780652624,0.748009373
Arousal,6,Mask-All,GaussianSVM,0.777763928,0.727667753
Arousal,6,Mask-All,KNN,0.6931243,0.669264049
Arousal,6,Mask-All,LinearRidge,0.778240696,0.73213843
Arousal,6,Mask-All,RF,0.816798027,0.78942917
Arousal,7,Annotations,DL,0.78552387,0.754485503
Arousal,7,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,7,Annotations,KNN,0.857142857,0.82038489
Arousal,7,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,7,Annotations,RF,0.833333333,0.805039788
Arousal,7,EMG A,DL,0.792833059,0.760591937
Arousal,7,EMG A,GaussianSVM,0.796745521,0.756768253
Arousal,7,EMG A,KNN,0.762911374,0.723411818
Arousal,7,EMG A,LinearRidge,0.784289253,0.743656026
Arousal,7,EMG A,RF,0.805184326,0.784146804
Arousal,7,EMG C,DL,0.6231836,0.547731446
Arousal,7,EMG C,GaussianSVM,0.676475411,0.585190607
Arousal,7,EMG C,KNN,0.632817959,0.58633932
Arousal,7,EMG C,LinearRidge,0.605674133,0.523233949
Arousal,7,EMG C,RF,0.647952071,0.555863567
Arousal,7,HRV,DL,0.620985901,0.536164611
Arousal,7,HRV,GaussianSVM,0.555054079,0.482990447
Arousal,7,HRV,KNN,0.582315937,0.539059081
Arousal,7,HRV,LinearRidge,0.636032762,0.531172305
Arousal,7,HRV,RF,0.608976454,0.550012127
Arousal,7,IMU,DL,0.653346289,0.604460322
Arousal,7,IMU,GaussianSVM,0.704222827,0.648846806
Arousal,7,IMU,KNN,0.604407267,0.554864035
Arousal,7,IMU,LinearRidge,0.713560258,0.649319465
Arousal,7,IMU,RF,0.671794511,0.601544685
Arousal,7,Mask-All,DL,0.777641863,0.742573167
Arousal,7,Mask-All,GaussianSVM,0.770974856,0.7229632
Arousal,7,Mask-All,KNN,0.681762175,0.658591482
Arousal,7,Mask-All,LinearRidge,0.765190818,0.72238845
Arousal,7,Mask-All,RF,0.811958232,0.781857159
Arousal,8,Annotations,DL,0.794152565,0.765230425
Arousal,8,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,8,Annotations,KNN,0.845238095,0.802710027
Arousal,8,Annotations,LinearRidge,0.869047619,0.837524178
Arousal,8,Annotations,RF,0.845238095,0.81272509
Arousal,8,EMG A,DL,0.805547504,0.777656947
Arousal,8,EMG A,GaussianSVM,0.795778673,0.754771683
Arousal,8,EMG A,KNN,0.762148477,0.722151327
Arousal,8,EMG A,LinearRidge,0.786436411,0.746116631
Arousal,8,EMG A,RF,0.801920087,0.777570337
Arousal,8,EMG C,DL,0.662871218,0.54913619
Arousal,8,EMG C,GaussianSVM,0.67076672,0.571899229
Arousal,8,EMG C,KNN,0.619275952,0.57198286
Arousal,8,EMG C,LinearRidge,0.614034065,0.533299593
Arousal,8,EMG C,RF,0.6476961,0.562398858
Arousal,8,HRV,DL,0.605367946,0.526229467
Arousal,8,HRV,GaussianSVM,0.57310439,0.490741287
Arousal,8,HRV,KNN,0.571907163,0.527374573
Arousal,8,HRV,LinearRidge,0.657660632,0.556446609
Arousal,8,HRV,RF,0.621474773,0.554269897
Arousal,8,IMU,DL,0.688837253,0.617531097
Arousal,8,IMU,GaussianSVM,0.700142224,0.642295597
Arousal,8,IMU,KNN,0.611070388,0.551421886
Arousal,8,IMU,LinearRidge,0.713946226,0.649565957
Arousal,8,IMU,RF,0.672816399,0.610756486
Arousal,8,Mask-All,DL,0.771908059,0.74066883
Arousal,8,Mask-All,GaussianSVM,0.779144827,0.733776957
Arousal,8,Mask-All,KNN,0.700696179,0.675111902
Arousal,8,Mask-All,LinearRidge,0.766125365,0.723697788
Arousal,8,Mask-All,RF,0.813086302,0.788401176
Arousal,9,Annotations,DL,0.789616931,0.760853894
Arousal,9,Annotations,GaussianSVM,0.869047619,0.837524178
Arousal,9,Annotations,KNN,0.845238095,0.802710027
Arousal,9,Annotations,LinearRidge,0.845238095,0.81272509
Arousal,9,Annotations,RF,0.845238095,0.807983119
Arousal,9,EMG A,DL,0.795237456,0.77163923
Arousal,9,EMG A,GaussianSVM,0.804545448,0.766360421
Arousal,9,EMG A,KNN,0.76941043,0.73158875
Arousal,9,EMG A,LinearRidge,0.792500467,0.755468928
Arousal,9,EMG A,RF,0.805783277,0.782856097
Arousal,9,EMG C,DL,0.65181149,0.538969963
Arousal,9,EMG C,GaussianSVM,0.6707119,0.571631298
Arousal,9,EMG C,KNN,0.610286901,0.565321871
Arousal,9,EMG C,LinearRidge,0.612497371,0.523710078
Arousal,9,EMG C,RF,0.655128488,0.568588636
Arousal,9,HRV,DL,0.63078038,0.506615822
Arousal,9,HRV,GaussianSVM,0.540955513,0.465909752
